"id","year","title","artwork","artwork_large","artist","artist_search","download"
150143552,"2015","MBLP014/Don't Stop - CLOUD OF VIB'S","/artworks/artworks-000131196289-hwh1dj-large.jpg","/artworks/artworks-000131196289-hwh1dj-t500x500.jpg","CLOUD OF VIB'S","CLOUD OF VIB'S","http://mareebass.fr/documents/sons/MareeBass_Prod-38.zip"
144801282,"2015","MBEP019/Fiddle About - PROJET NOVA 6","/artworks/artworks-000129524500-budheb-large.jpg","/artworks/artworks-000129524500-budheb-t500x500.jpg","PROJET NOVA 6","PROJET NOVA 6","http://mareebass.fr/documents/sons/MareeBass_Prod-37.zip"
133354757,"2015","MBEP018/Greed Will Kill Us All - MR LION","/artworks/artworks-000125939192-5qtj1c-large.jpg","/artworks/artworks-000125939192-5qtj1c-t500x500.jpg","MR LION","MR LION","http://mareebass.fr/documents/sons/MareeBass_Prod-36.zip"
119569458,"2015","Marée BASS Compilation #4...download & support on https://www.mareebass.fr","/artworks/artworks-000121407258-enpdtw-large.jpg","/artworks/artworks-000121407258-enpdtw-t500x500.jpg",,,"https://mareebass-prod.bandcamp.com/album/mar-e-bass-compilation-4"
115772657,"2015","MBLP013/Pranayama - LEYLO","/artworks/artworks-000119916655-ib9n9h-large.jpg","/artworks/artworks-000119916655-ib9n9h-t500x500.jpg","LEYLO","LEYLO","http://mareebass.fr/documents/sons/MareeBass_Prod-34.zip"
110347670,"2015","MBLP012/Urbanomix - THE DUB DOCTOR","/artworks/artworks-000117785670-hstgbu-large.jpg","/artworks/artworks-000117785670-hstgbu-t500x500.jpg","THE DUB DOCTOR","THE DUB DOCTOR","http://mareebass.fr/documents/sons/MareeBass_Prod-33.zip"
101383312,"2015","MBEP017/Dubz From Inner Space - ALPHA-B DUB","/artworks/artworks-000114584768-f4mtb4-large.jpg","/artworks/artworks-000114584768-f4mtb4-t500x500.jpg","ALPHA-B DUB","ALPHA-B DUB","http://mareebass.fr/documents/sons/MareeBass_Prod-32.zip"
92017711,"2015","MBEP016/Find Your Real Life - DU3normal","/artworks/artworks-000111006310-vg9c4s-large.jpg","/artworks/artworks-000111006310-vg9c4s-t500x500.jpg","DU3normal","DU3normal","http://mareebass.fr/documents/sons/MareeBass_Prod-31.zip"
84828140,"2015","MBLP011/Liqweed Network - YAyoLand","/artworks/artworks-000108307811-lsqmc0-large.jpg","/artworks/artworks-000108307811-lsqmc0-t500x500.jpg","YAyoLand","YAyoLand","http://mareebass.fr/documents/sons/MareeBass_Prod-30.zip"
76882758,"2015","MBLP010/Skank Fiction - KANDEE DUB","/artworks/artworks-000105181377-hf76xx-large.jpg","/artworks/artworks-000105181377-hf76xx-t500x500.jpg","KANDEE DUB","KANDEE DUB","http://mareebass.fr/documents/sons/MareeBass_Prod-29.zip"
67204358,"2014","MBLP009/Distort - PHONIANDFLORE","/artworks/artworks-000101408255-bl8drk-large.jpg","/artworks/artworks-000101408255-bl8drk-t500x500.jpg","PHONIANDFLORE","PHONIANDFLORE","http://mareebass.fr/documents/sons/MareeBass_Prod-28.zip"
62088125,"2014","MBLP008/Revelation - SKONC","/artworks/artworks-000099009326-u9h94f-large.jpg","/artworks/artworks-000099009326-u9h94f-t500x500.jpg","SKONC","SKONC","http://mareebass.fr/documents/sons/MareeBass_Prod-27.zip"
59790481,"2014","MBEP015/Third Part Of The Rainbow - NAWAK BRITISH","/artworks/artworks-000097883041-tab4v5-large.jpg","/artworks/artworks-000097883041-tab4v5-t500x500.jpg",,,"http://mareebass.fr/documents/sons/MareeBass_Prod-26.zip"
56138857,"2014","MBLP007/Waste In Space - EASY DEVIANCE","/artworks/artworks-000095103635-tl3ajq-large.jpg","/artworks/artworks-000095103635-tl3ajq-t500x500.jpg","EASY DEVIANCE","EASY DEVIANCE","http://mareebass.fr/documents/sons/MareeBass_Prod-25.zip"
50607594,"2014","MBEP014/Loop In My Head - KAÏMA","/artworks/artworks-000090810277-10saj3-large.jpg","/artworks/artworks-000090810277-10saj3-t500x500.jpg","KAÏMA","KAÏMA","http://mareebass.fr/documents/sons/MareeBass_Prod-24.zip"
44660983,"2014","MBLP006/In Your Eyes - MEXICAN STEPPER","/artworks/artworks-000086194679-9pp8ki-large.jpg","/artworks/artworks-000086194679-9pp8ki-t500x500.jpg","MEXICAN STEPPER","MEXICAN STEPPER","http://mareebass.fr/documents/sons/MareeBass_Prod-23.zip"
43673710,"2014","Marée BASS Compilation#3","/artworks/artworks-000085345470-vt4jsf-large.jpg","/artworks/artworks-000085345470-vt4jsf-t500x500.jpg",,,"http://mareebass.fr/documents/sons/MareeBass_Prod-22.zip"
36092594,"2014","MBEP013/Militant Art of Dub - MAD CODIOUF","/artworks/artworks-000080181261-2jddg7-large.jpg","/artworks/artworks-000080181261-2jddg7-t500x500.jpg","MAD CODIOUF","MAD CODIOUF","http://mareebass.fr/documents/sons/MareeBass_Prod-21.zip"
31654948,"2014","MBEP012/Malatesta - RAD A DUB","/artworks/artworks-000077269175-e5d96h-large.jpg","/artworks/artworks-000077269175-e5d96h-t500x500.jpg","RAD A DUB","RAD A DUB","http://mareebass.fr/documents/sons/MareeBass_Prod-20.zip"
28741744,"2014","MBLP005/Social Anxiety Disorder - yAyo Land","/artworks/artworks-000075138813-sfyxvs-large.jpg","/artworks/artworks-000075138813-sfyxvs-t500x500.jpg","yAyo Land","yAyo Land","http://mareebass.fr/documents/sons/MareeBass_Prod-19.zip"
23872888,"2014","MBEP011/Skank The Bass - ROOTS ZOMBIE","/artworks/artworks-000071232736-rv0dqg-large.jpg","/artworks/artworks-000071232736-rv0dqg-t500x500.jpg","ROOTS ZOMBIE","ROOTS ZOMBIE","http://mareebass.fr/documents/sons/MareeBass_Prod-18.zip"
21093965,"2014","MBLP004/Dub Evidence - ROOTSTEPPA","/artworks/artworks-000068867682-inyi9i-large.jpg","/artworks/artworks-000068867682-inyi9i-t500x500.jpg","ROOTSTEPPA","ROOTSTEPPA","http://mareebass.fr/documents/sons/MareeBass_Prod-17.zip"
17697352,"2013","MBLP003/The Global Dream - N-TONE DUB","/artworks/artworks-000065855963-kjseyl-large.jpg","/artworks/artworks-000065855963-kjseyl-t500x500.jpg","N-TONE DUB","N-TONE DUB","http://mareebass.fr/documents/sons/MareeBass_Prod-16.zip"
15267461,"2013","MBLP002/Bass Area - PHONIANDFLORE","/artworks/artworks-000063450991-blev91-large.jpg","/artworks/artworks-000063450991-blev91-t500x500.jpg","PHONIANDFLORE","PHONIANDFLORE","http://mareebass.fr/documents/sons/MareeBass_Prod-15.zip"
